board_number,zone_id,seats,n_candidates,zone_labels,municipalities,n_municipalities,board_source,empty,sources
B66192,B66192-school-board-trustee-english-public-upper-canada-district-sc,,1,School Board Trustee – English Public (Upper Canada District School Board),3501030:North Dundas,1,label,0,harvest
B66192,B66192-trustee-ucdsb-ward-5,,2,Trustee – UCDSB Ward 5,3507015:Brockville,1,label,0,harvest
B66192,B66192-upper-canada-district-school-board,,1,Upper Canada District School Board,3509015:Tay Valley,1,label,0,harvest
B66206,B66206-english-language-public-school-board-trustee-acclaimed,,1,English Language Public School Board Trustee (Acclaimed),3510020:South Frontenac,1,label,0,harvest
B66206,B66206-english-public-trustee-limestone-district-school-board-nomin,,2,English Public Trustee (Limestone District School Board) Nominations Certified by the Clerk for Loyalist Township,3511030:Stone Mills,1,label,0,harvest
B66206,B66206-limestone-district-school-board-trustee-english-acclaimed,,1,Limestone District School Board Trustee – English (Acclaimed),3510035:Central Frontenac,1,label,0,harvest
B66214,B66214-school-board-trustee-english-public,,1,School Board Trustee English Public,"3547096:Deep River, Town (T)",1,resolved-from-jurisdictions,0,harvest
B66214,B66214-school-board-trustee-english-public-one-1-to-be-elected,,1,School Board Trustee - English Public - one (1) to be elected,3547008:Greater Madawaska,1,label,0,harvest
B66222,B66222-hastings-prince-edward-district-school-board-school-board-tr,,2,Hastings Prince Edward District School Board School Board Trustee,"3512001:Tyendinaga, Township (TP)",1,label,0,harvest
B66222,B66222-school-board-trustee-english-public-hastings-prince-edward-d,,1,Hastings Prince Edward School Board Trustee | School Board Trustee – English Public Hastings & Prince Edward District School Board (HPEDSB),3512026:Centre Hastings,1,label,0,harvest
B67008,B67008-bruce-grey-catholic-district-school-board-trustee-english-se,,2,Bruce-Grey Catholic District School Board Trustee – English Separate,3542004:West Grey,1,label,0,harvest
B67008,B67008-bruce-grey-catholic-district-school-board-trustee-english-se,,1,Bruce-Grey Catholic District School Board Trustee - English Separate,3542045:The Blue Mountains,1,label,0,harvest
B67008,B67008-bruce-grey-catholic-school-board-trustee,,1,Bruce Grey Catholic School Board Trustee,"3542059:Owen Sound, City (CY)",1,label,0,harvest
B67008,B67008-english-separate-school-board-trustee-ward-31-bruce-grey-cat,,1,English Separate School Board Trustee - Ward 31 (Bruce-Grey Catholic District School Board) - Acclaimed*,3541032:Brockton,1,label,0,harvest
B67008,B67008-english-separate-school-board-trustee-wards-34-36-bruce-grey,,2,English Separate School Board Trustee - Wards 34 & 36 (Bruce-Grey Catholic District School Board) - 1 Position,3541032:Brockton,1,label,0,harvest
B67008,B67008-official-list-of-candidates-for-english-catholic-public-scho,,1,Official List of Candidates for English Catholic Public School Board Trustee,3542053:Georgian Bluffs,1,label,0,harvest
B67016,B67016-declaration-of-acclamation-to-office,,4,Declaration of Acclamation to Office,3540050:Morris-Turnberry,1,label,0,harvest
B67016,B67016-huron-perth-catholic-district-school-board-trustee,,3,Huron Perth Catholic District School Board Trustee,"3531011:Stratford, City (CY)",1,label,0,harvest
B67016,B67016-huron-perth-catholic-separate-school-board-english,,2,Huron-Perth Catholic Separate School Board (English),3531013:Perth South,1,label,0,harvest
B67016,B67016-school-board-trustee-english-separate-huron-perth-catholic-d,,1,School Board Trustee – English Separate (Huron Perth Catholic District School Board) | School Board Trustee – English Separate – Huron-Perth Catholic District School Board | School Board Trustee – Huron-Perth Catholic District School Board | Trustee – Huron Perth Catholic District School Board(English Separate),3540005:South Huron | 3540010:Bluewater,2,label,0,harvest
B67024,B67024-trustee-wecdsb-wards-1-10,,2,Trustee - WECDSB - Wards 1 & 10,"3537039:Windsor, City (CY)",1,label,0,harvest
B67024,B67024-trustee-wecdsb-wards-2-9,,1,Trustee - WECDSB - Wards 2 & 9,"3537039:Windsor, City (CY)",1,label,0,harvest
B67024,B67024-trustee-wecdsb-wards-3-4,,2,Trustee - WECDSB - Wards 3 & 4,"3537039:Windsor, City (CY)",1,label,0,harvest
B67024,B67024-trustee-wecdsb-wards-5-8,,3,Trustee - WECDSB - Wards 5 & 8,"3537039:Windsor, City (CY)",1,label,0,harvest
B67024,B67024-trustee-wecdsb-wards-6-7,,2,Trustee - WECDSB - Wards 6 & 7,"3537039:Windsor, City (CY)",1,label,0,harvest
B67024,B67024-windsor-essex-catholic-district-school-board-english-separat,,1,Windsor-Essex Catholic District School Board (English Separate Board),3537013:Kingsville,1,label,0,harvest
B67032,B67032-english-catholic-trustee-wards-1-14,,4,English Catholic Trustee Wards 1 & 14,"3539036:London, City (CY)",1,resolved-from-jurisdictions,0,harvest
B67032,B67032-english-catholic-trustee-wards-11-12-13,,3,"English Catholic Trustee Wards 11, 12 & 13","3539036:London, City (CY)",1,resolved-from-jurisdictions,0,harvest
B67032,B67032-english-catholic-trustee-wards-2-3-4,,2,"English Catholic Trustee Wards 2, 3 & 4","3539036:London, City (CY)",1,resolved-from-jurisdictions,0,harvest
B67032,B67032-english-catholic-trustee-wards-5-6-7,,4,"English Catholic Trustee Wards 5,6 & 7","3539036:London, City (CY)",1,resolved-from-jurisdictions,0,harvest
B67032,B67032-english-catholic-trustee-wards-8-9-10,,1,"English Catholic Trustee Wards 8, 9 & 10","3539036:London, City (CY)",1,resolved-from-jurisdictions,0,harvest
B67032,B67032-english-separate-school-trustee,,2,English Separate School Trustee,"3532042:Woodstock, City (CY)",1,inferred-from-candidate-set,0,harvest
B67032,B67032-london-district-catholic-school-board-1-position,,2,London District Catholic School Board (1 Position),3532002:Norwich,1,label,0,harvest
B67032,B67032-london-district-catholic-school-board-one-to-be-elected-by-e,,1,London District Catholic School Board (One to be elected by English separate school electors in Oxford County) | London District Catholic School Board - Acclaimed | London District Catholic School Board Trustee (English Separate),3532004:Tillsonburg | 3532018:Ingersoll | 3532038:East Zorra-Tavistock,3,label,0,harvest
B67032,B67032-london-district-catholic-school-board-trustee-acclaimed-engl,,1,"London District Catholic School Board Trustee - Acclaimed (English Separate) | Trustee, London District Catholic School Board (LDCSB)",3539027:Thames Centre | 3539033:Middlesex Centre,2,label,0,harvest
B67032,B67032-school-board-trustee-london-district-catholic-school-board,,2,London District Catholic School Board | School Board Trustee - London District Catholic School Board,"3534020:Central Elgin | 3534021:St. Thomas, City (CY)",2,label,0,harvest
B67040,B67040-trustee-st-clair-catholic-district-school-board-english-sepa,,3,"Trustee, St. Clair Catholic District School Board (English Separate School Board)",3538030:Sarnia,1,label,0,harvest
B67040,B67040-trustee-st-clair-catholic-district-school-board-english-sepa,,2,Trustee – St. Clair Catholic District School Board (English Separate),3538043:Warwick,1,label,0,harvest
B67059,B67059-ward-1,,3,Ward 1,3520005:Toronto,1,label,0,harvest
B67059,B67059-ward-10,,5,Ward 10,3520005:Toronto,1,label,0,harvest
B67059,B67059-ward-11,,2,Ward 11,3520005:Toronto,1,label,0,harvest
B67059,B67059-ward-12,,1,Ward 12,3520005:Toronto,1,label,0,harvest
B67059,B67059-ward-2,,2,Ward 2,3520005:Toronto,1,label,0,harvest
B67059,B67059-ward-3,,2,Ward 3,3520005:Toronto,1,label,0,harvest
B67059,B67059-ward-4,,3,Ward 4,3520005:Toronto,1,label,0,harvest
B67059,B67059-ward-5,,2,Ward 5,3520005:Toronto,1,label,0,harvest
B67059,B67059-ward-6,,1,Ward 6,3520005:Toronto,1,label,0,harvest
B67059,B67059-ward-7,,3,Ward 7,3520005:Toronto,1,label,0,harvest
B67059,B67059-ward-8,,3,Ward 8,3520005:Toronto,1,label,0,harvest
B67059,B67059-ward-9,,4,Ward 9,3520005:Toronto,1,label,0,harvest
B67067,B67067-english-separate-school-trustee,,0,English Separate School Trustee,"3514021:Cobourg, Town (T)",1,resolved-from-jurisdictions,1,harvest
B67067,B67067-peterborough-victoria-northumberland-and-clarington-catholic,,2,Peterborough Victoria Northumberland and Clarington Catholic District School Board Trustee,"3518017:Clarington, Municipality (MU)",1,label,0,harvest
B67067,B67067-peterborough-victoria-northumberland-clarington-catholic-dis,,3,Peterborough Victoria Northumberland Clarington Catholic District School Board,3515003:Asphodel-Norwood,1,label,0,harvest
B67067,B67067-pvnccdsb-trustee,,5,PVNCCDSB Trustee,"3515014:Peterborough, City (CY)",1,label,0,harvest
B67075,B67075-english-separate-school-trustee,,3,English Separate School Trustee,"3519054:East Gwillimbury, Town (T)",1,resolved-from-jurisdictions,0,harvest
B67075,B67075-school-board-trustee-english-separate,,2,"English Separate School Trustee | School Board Trustee, English Separate","3519044:Whitchurch-Stouffville, Town (T) | 3519049:King, Township (TP)",2,inferred-from-candidate-set,0,harvest
B67075,B67075-trustee-york-catholic-district-school-board,,4,Trustee - York Catholic District School Board,"3519038:Richmond Hill, Town (T)",1,label,0,harvest
B67075,B67075-trustee-york-catholic-district-school-board-wards-1-2-3-6,,2,"Trustee, York Catholic District School Board (Wards 1, 2, 3 & 6)","3519036:Markham, City (CY)",1,label,0,harvest
B67075,B67075-trustee-york-catholic-district-school-board-wards-4-5-7-8,,2,"Trustee, York Catholic District School Board (Wards 4, 5, 7 & 8)","3519036:Markham, City (CY)",1,label,0,harvest
B67075,B67075-ycdsb-trustee-area-1-ward-1,,2,YCDSB Trustee - Area 1 (Ward 1),"3519028:Vaughan, City (CY)",1,label,0,harvest
B67075,B67075-ycdsb-trustee-area-2-ward-2,,1,YCDSB Trustee - Area 2 (Ward 2),"3519028:Vaughan, City (CY)",1,label,0,harvest
B67075,B67075-york-catholic-district-school-board-trustee,,1,York Catholic District School Board Trustee,3519070:Georgina,1,label,0,harvest
B67075,B67075-york-catholic-school-board-trustee-for-aurora-king-and-whitc,,2,"York Catholic School Board Trustee for Aurora, King, and Whitchurch-Stouffville","3519046:Aurora, Town (T)",1,label,0,harvest
B67083,B67083-acclaimed-candidate-for-school-board-trustee-english-separat,,1,*Acclaimed Candidate for School Board Trustee - English Separate (Dufferin-Peel Catholic District School Board),3522014:Orangeville,1,label,0,harvest
B67083,B67083-dufferin-peel-catholic-district-school-board-wards-1-3-4,,3,"Dufferin-Peel Catholic District School Board - Wards 1, 3, 4","3521010:Brampton, City (CY)",1,label,0,harvest
B67083,B67083-dufferin-peel-catholic-district-school-board-wards-2-5-6,,3,"Dufferin-Peel Catholic District School Board - Wards 2, 5, 6","3521010:Brampton, City (CY)",1,label,0,harvest
B67083,B67083-dufferin-peel-catholic-district-school-board-wards-7-8-9-10,,3,"Dufferin-Peel Catholic District School Board - Wards 7, 8, 9, 10","3521010:Brampton, City (CY)",1,label,0,harvest
B67083,B67083-election-results-english-language-separate-school-board-trus,,4,Election Results: English-language Separate School Board Trustee,3522012:Mono,1,label,0,harvest
B67083,B67083-english-separate-school-board-trustee,,1,English Separate School Board Trustee,"3521024:Caledon, Town (T)",1,inferred-from-candidate-set,0,harvest
B67083,B67083-trustee-english-separate-ward-4,,1,Trustee English Separate Ward 4,"3521005:Mississauga, City (CY)",1,resolved-from-jurisdictions,0,harvest
B67083,B67083-trustee-english-separate-ward-5,,3,Trustee English Separate Ward 5,"3521005:Mississauga, City (CY)",1,resolved-from-jurisdictions,0,harvest
B67083,B67083-trustee-english-separate-ward-7,,2,Trustee English Separate Ward 7,"3521005:Mississauga, City (CY)",1,resolved-from-jurisdictions,0,harvest
B67083,B67083-trustee-english-separate-wards-1-and-3,,1,Trustee English Separate Wards 1 and 3,"3521005:Mississauga, City (CY)",1,resolved-from-jurisdictions,0,harvest
B67083,B67083-trustee-english-separate-wards-2-and-8,,2,Trustee English Separate Wards 2 and 8,"3521005:Mississauga, City (CY)",1,resolved-from-jurisdictions,0,harvest
B67083,B67083-trustee-english-separate-wards-6-and-11,,1,Trustee English Separate Wards 6 and 11,"3521005:Mississauga, City (CY)",1,resolved-from-jurisdictions,0,harvest
B67083,B67083-trustee-english-separate-wards-9-and-10,,3,Trustee English Separate Wards 9 and 10,"3521005:Mississauga, City (CY)",1,resolved-from-jurisdictions,0,harvest
B67091,B67091-english-catholic-school-board-trustee-simcoe-muskoka-catholi,,2,English Catholic School Board Trustee (Simcoe Muskoka Catholic District School Board) | Simcoe Muskoka Catholic District School Board Trustee,3543014:Bradford West Gwillimbury | 3543017:Innisfil,2,label,0,harvest
B67091,B67091-english-separate-school-board-trustee,,1,English Separate School Board Trustee,"3543031:Collingwood, Town (T)",1,inferred-from-candidate-set,0,harvest
B67091,B67091-english-separate-school-board-trustee,,0,English Separate School Board Trustee,"3544042:Huntsville, Town (T)",1,resolved-from-jurisdictions,1,harvest
B67091,B67091-english-separate-school-trustee,,3,English Separate School Trustee,"3543068:Tiny, Township (TP)",1,inferred-from-candidate-set,0,harvest
B67091,B67091-english-separate-school-trustee,,1,English Separate School Trustee,"3544027:Lake of Bays, Township (TP) | 3544065:Georgian Bay, Township (TP)",2,inferred-from-candidate-set,0,harvest
B67091,B67091-english-separate-school-trustee,,0,English Separate School Trustee,"3544002:Gravenhurst, Town (T)",1,resolved-from-jurisdictions,1,harvest
B67091,B67091-member-simcoe-muskoka-catholic-district-school-board-area-1,,2,Member - Simcoe Muskoka Catholic District School Board - Area 1,"3543042:Barrie, City (CY)",1,label,0,harvest
B67091,B67091-member-simcoe-muskoka-catholic-district-school-board-area-2,,2,Member - Simcoe Muskoka Catholic District School Board - Area 2,"3543042:Barrie, City (CY)",1,label,0,harvest
B67091,B67091-member-simcoe-muskoka-catholic-district-school-board-english,,1,"Member - Simcoe Muskoka Catholic District School Board (English Separate) | Trustee, English-Separate",3543019:Ramara | 3543052:Orillia,2,label,0,harvest
B67091,B67091-office-trustee-english-language-separate-school-board-simcoe,,3,"Office: Trustee, English Language Separate School Board (Simcoe Muskoka Catholic District School Board)",3543074:Midland,1,label,0,harvest
B67091,B67091-school-board-trustee-simcoe-muskoka-catholic-district-school,,1,School Board Trustee - Simcoe Muskoka Catholic District School Board - Area 5 (English Catholic),3549028:McKellar,1,label,0,harvest
B67091,B67091-simcoe-muskoka-catholic-district-school-board-english-separa,,1,Simcoe Muskoka Catholic District School Board (English-Separate),3543003:Adjala-Tosorontio,1,label,0,harvest
B67091,B67091-simcoe-muskoka-catholic-district-school-board-trustee-englis,,1,School Board Trustee - English Separate | Simcoe Muskoka Catholic District School Board Trustee (English Separate),3543005:Clearview | 3543009:Springwater,2,label,0,harvest
B67105,B67105-durham-catholic-district-school-board-trustee-two-to-be-elec,,4,Durham Catholic District School Board Trustee (two to be elected),"3518009:Whitby, Town (T)",1,label,0,harvest
B67105,B67105-english-separate-school-board-trustee,,1,ENGLISH SEPARATE SCHOOL BOARD TRUSTEE,"3518029:Uxbridge, Township (TP)",1,resolved-from-jurisdictions,0,harvest
B67105,B67105-english-separate-school-trustee,,0,English Separate School Trustee,"3518005:Ajax, Town (T)",1,resolved-from-jurisdictions,1,harvest
B67105,B67105-school-board-trustee-english-separate,,0,School Board Trustee English Separate,"3518020:Scugog, Township (TP)",1,resolved-from-jurisdictions,1,harvest
B67105,B67105-trustee-durham-catholic-district-school-board,,3,"Trustee, Durham Catholic District School Board","3518001:Pickering, City (CY)",1,label,0,harvest
B67105,B67105-trustee-durham-catholic-district-school-board,,3,Trustee - Durham Catholic District School Board,"3518013:Oshawa, City (CY)",1,label,0,harvest
B67113,B67113-1-to-be-elected,,2,1 to be elected,3524015:Halton Hills,1,label,0,harvest
B67113,B67113-english-separate-school-trustee-ward-1-4,,2,English Separate School Trustee Ward 1 & 4,"3524009:Milton, Town (T)",1,resolved-from-jurisdictions,0,harvest
B67113,B67113-english-separate-school-trustee-ward-2-3,,2,English Separate School Trustee Ward 2 & 3,"3524009:Milton, Town (T)",1,resolved-from-jurisdictions,0,harvest
B67113,B67113-halton-catholic-district-school-board-wards-1-2-3,,3,"Halton Catholic District School Board - Wards 1,2 & 3","3524001:Oakville, Town (T)",1,label,0,harvest
B67113,B67113-halton-catholic-district-school-board-wards-4-and-7,,1,Halton Catholic District School Board - Wards 4 and 7,"3524001:Oakville, Town (T)",1,label,0,harvest
B67113,B67113-halton-catholic-district-school-board-wards-5-and-6,,2,Halton Catholic District School Board - Wards 5 and 6,"3524001:Oakville, Town (T)",1,label,0,harvest
B67113,B67113-hcdsb-trustee-ward-1-2,,2,HCDSB Trustee - Ward 1 & 2,"3524002:Burlington, City (CY)",1,label,0,harvest
B67113,B67113-hcdsb-trustee-ward-3-6,,2,HCDSB Trustee - Ward 3 & 6,"3524002:Burlington, City (CY)",1,label,0,harvest
B67113,B67113-hcdsb-trustee-wards-4-5,,3,HCDSB Trustee - Wards 4 & 5,"3524002:Burlington, City (CY)",1,label,0,harvest
B67121,B67121-ward-10-english-separate,,2,Ward 10 - English Separate,3525005:Hamilton,1,label,0,harvest
B67121,B67121-ward-5-english-separate,,1,Ward 5 - English Separate,3525005:Hamilton,1,label,0,harvest
B67121,B67121-ward-6-english-separate,,3,Ward 6 - English Separate,3525005:Hamilton,1,label,0,harvest
B67121,B67121-ward-7-english-separate,,3,Ward 7 - English Separate,3525005:Hamilton,1,label,0,harvest
B67121,B67121-wards-1-2-15-english-separate,,1,"Wards 1, 2 & 15 - English Separate",3525005:Hamilton,1,label,0,harvest
B67121,B67121-wards-12-13-english-separate,,4,Wards 12 & 13 - English Separate,3525005:Hamilton,1,label,0,harvest
B67121,B67121-wards-3-4-english-separate,,1,Wards 3 & 4 - English Separate,3525005:Hamilton,1,label,0,harvest
B67121,B67121-wards-8-14-english-separate,,3,Wards 8 & 14 - English Separate,3525005:Hamilton,1,label,0,harvest
B67121,B67121-wards-9-11-english-separate,,1,Wards 9 & 11 - English Separate,3525005:Hamilton,1,label,0,harvest
B67130,B67130-wellington-catholic-district-school-board,,5,Wellington Catholic District School Board,"3523008:Guelph, City (CY)",1,label,0,harvest
B67148,B67148-english-separate-school-board-trustee-2-to-be-elected,,2,English Separate School Board Trustee (2 to be elected),3530027:Wellesley,1,label,0,harvest
B67148,B67148-english-separate-school-board-trustee-2-to-be-elected,,4,English Separate School Board Trustee (2 to be elected),3530027:Wellesley,1,label,0,harvest
B67148,B67148-waterloo-region-catholic-school-board-trustee-vote-for-no-mo,,4,Waterloo Region Catholic School Board Trustee (Vote for no more than 2),"3530016:Waterloo, City (CY)",1,resolved-from-jurisdictions,0,harvest
B67156,B67156-candidates-for-niagara-catholic-district-school-board-truste,,3,Candidates for Niagara Catholic District School Board Trustee,3526043:Niagara Falls,1,label,0,harvest
B67156,B67156-english-language-catholic-district-school-board,,1,English Language Catholic District School Board,3526011:Port Colborne,1,label,0,harvest
B67164,B67164-separate-school-board-trustee,,2,Separate School Board Trustee,3529005:Brant,1,label,0,harvest
B67164,B67164-third-party-advertiser,,1,Third-Party Advertiser,3529005:Brant,1,label,0,harvest
B67172,B67172-candidates-for-the-catholic-district-school-board-of-eastern,,1,Candidates for the Catholic District School Board of Eastern Ontario (English Separate) | Catholic District School Board Eastern Ontario - English Separate (catholic) | School Board Trustee Positions,3502001:East Hawkesbury | 3502010:Champlain | 3502044:Casselman,3,label,0,harvest
B67172,B67172-catholic-district-school-board-of-eastern-ontario,,1,Catholic District School Board of Eastern Ontario,3509015:Tay Valley,1,label,0,harvest
B67172,B67172-school-board-trustee-english-separate-catholic-district-scho,,1,English Separate (Catholic District School Board of Eastern Ontario) | School Board Trustee – English Separate (Catholic District School Board of Eastern Ontario),3501011:South Stormont | 3501030:North Dundas,2,label,0,harvest
B67172,B67172-school-board-trustee-english-separate-cdsbeo,,4,SCHOOL BOARD TRUSTEE - ENGLISH SEPARATE | School Board Trustee - English Separate (CDSBEO),3501005:South Glengarry | 3501050:North Glengarry,2,label,0,harvest
B67172,B67172-trustee-cdsbeo-ward-4,,2,Trustee – CDSBEO Ward 4,3507015:Brockville,1,label,0,harvest
B67180,B67180-zone-1-wards-6-20-21,,1,"Zone 1 (Wards 6, 20, 21)",3506008:Ottawa,1,label,0,harvest
B67180,B67180-zone-10-wards-12-13-14,,2,"Zone 10 (Wards 12, 13, 14)",3506008:Ottawa,1,label,0,harvest
B67180,B67180-zone-2-wards-4-5-23,,1,"Zone 2 (Wards 4, 5, 23)",3506008:Ottawa,1,label,0,harvest
B67180,B67180-zone-3-wards-1-19,,1,"Zone 3 (Wards 1, 19)",3506008:Ottawa,1,label,0,harvest
B67180,B67180-zone-4-wards-3-22-24,,2,"Zone 4 (Wards 3, 22, 24)",3506008:Ottawa,1,label,0,harvest
B67180,B67180-zone-5-wards-2-11,,1,"Zone 5 (Wards 2, 11)",3506008:Ottawa,1,label,0,harvest
B67180,B67180-zone-6-wards-8-9,,3,"Zone 6 (Wards 8, 9)",3506008:Ottawa,1,label,0,harvest
B67180,B67180-zone-7-wards-7-15,,2,"Zone 7 (Wards 7, 15)",3506008:Ottawa,1,label,0,harvest
B67180,B67180-zone-8-wards-10-18,,1,"Zone 8 (Wards 10, 18)",3506008:Ottawa,1,label,0,harvest
B67180,B67180-zone-9-wards-16-17,,2,"Zone 9 (Wards 16, 17)",3506008:Ottawa,1,label,0,harvest
B67199,B67199-school-board-trustee-english-catholic-one-1-to-be-elected,,1,School Board Trustee - English Catholic- one (1) to be elected,3547008:Greater Madawaska,1,label,0,harvest
B67199,B67199-school-board-trustee-english-separate,,1,School Board Trustee English Separate,"3547096:Deep River, Town (T)",1,resolved-from-jurisdictions,0,harvest
B67202,B67202-algonquin-and-lakeshore-catholic-district-school-board-trust,,3,Algonquin and Lakeshore Catholic District School Board Trustee School Board Trustee,"3512001:Tyendinaga, Township (TP)",1,label,0,harvest
B67202,B67202-english-language-separate-school-board-trustee-acclaimed,,1,English Language Separate School Board Trustee (Acclaimed),3510020:South Frontenac,1,label,0,harvest
B67202,B67202-english-separate-trustee-algonquin-lakeshore-catholic-distri,,1,English Separate Trustee (Algonquin & Lakeshore Catholic District School Bd.) – Nominations Certified by the Clerk for Loyalist Township,3511030:Stone Mills,1,label,0,harvest
B67202,B67202-separate-school-board-trustee,,1,Separate School Board Trustee,3512026:Centre Hastings,1,label,0,harvest
